text_id,emotion
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
6135,joy
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,pride
52584,value mismatch
52584,pride
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
7143,sadness
7143,sadness
7143,sadness
7143,sadness
7143,sadness
7143,relief
7143,sadness
7143,sadness
7143,relief
7143,relief
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
4649,sadness
4649,sadness
4649,sadness
4649,guilt
4649,sadness
4649,sadness
4649,sadness
4649,sadness
4649,sadness
4649,sadness
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51240,joy
51240,joy
51240,joy
51240,joy
51240,joy
51240,joy
51240,joy
51240,fear
51240,joy
51240,joy
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
4636,fear
3975,joy
3975,joy
3975,joy
3975,joy
3975,joy
3975,joy
3975,joy
3975,pride
3975,joy
3975,joy
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,anger
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
5556,sadness
5556,sadness
5556,sadness
