text_id,emotion
6135,value mismatch
6135,value mismatch
6135,value mismatch
6135,value mismatch
6135,joy
6135,value mismatch
6135,value mismatch
6135,value mismatch
6135,value mismatch
6135,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
3605,value mismatch
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
521,anger
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
429,fear
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
468,sadness
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
31154,anger
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
51915,value mismatch
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,anger
5603,sadness
5603,anger
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
41225,relief
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
86,value mismatch
90,anger
90,anger
90,sadness
90,sadness
90,anger
90,anger
90,anger
90,anger
90,anger
90,anger
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
52584,value mismatch
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
2129,joy
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
6954,shame
7143,relief
7143,sadness
7143,sadness
7143,sadness
7143,relief
7143,relief
7143,sadness
7143,relief
7143,relief
7143,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
363,sadness
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
4649,value mismatch
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
52444,joy
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
6192,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,fear
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3423,sadness
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3546,joy
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
3117,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
7160,sadness
3864,joy
3864,joy
3864,pride
3864,pride
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
3864,joy
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
454,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
52289,sadness
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,boredom
5247,value mismatch
5247,boredom
5247,boredom
5247,boredom
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
99,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
822,sadness
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51775,joy
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
51240,sadness
4636,fear
4636,sadness
4636,sadness
4636,fear
4636,fear
4636,sadness
4636,fear
4636,fear
4636,fear
4636,fear
3975,joy
3975,pride
3975,joy
3975,pride
3975,joy
3975,joy
3975,joy
3975,joy
3975,joy
3975,joy
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
51624,pride
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
689,value mismatch
4583,fear
4583,fear
4583,fear
4583,fear
4583,surprise
4583,fear
4583,fear
4583,fear
4583,fear
4583,fear
4337,surprise
4337,surprise
4337,surprise
4337,anger
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4337,surprise
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4609,fear
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
4594,sadness
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,boredom
6162,value mismatch
6162,boredom
6162,boredom
6162,boredom
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5556,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5298,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
5810,sadness
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4842,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4780,joy
4692,sadness
4692,guilt
4692,guilt
4692,guilt
4692,guilt
4692,sadness
4692,sadness
4692,sadness
4692,sadness
4692,sadness
5951,pride
5951,boredom
5951,anger
5951,pride
5951,value mismatch
5951,pride
5951,pride
5951,boredom
5951,anger
5951,pride
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
5955,sadness
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
41260,joy
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
6315,sadness
52132,relief
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52132,sadness
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
52046,relief
51835,sadness
51835,sadness
51835,sadness
51835,sadness
51835,sadness
51835,sadness
51835,sadness
51835,sadness
51835,fear
51835,fear
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51807,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51694,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
51595,pride
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52373,sadness
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52857,value mismatch
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52716,sadness
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
52709,value mismatch
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6304,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6907,sadness
6804,fear
6804,sadness
6804,fear
6804,sadness
6804,fear
6804,fear
6804,fear
6804,fear
6804,fear
6804,fear
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6422,sadness
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
6337,value mismatch
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
31304,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51139,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
51285,joy
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
4170,sadness
21,boredom
21,boredom
21,boredom
21,value mismatch
21,value mismatch
21,boredom
21,boredom
21,boredom
21,boredom
21,boredom
2212,joy
2212,joy
2212,value mismatch
2212,value mismatch
2212,value mismatch
2212,value mismatch
2212,value mismatch
2212,value mismatch
2212,joy
2212,joy
553,anger
553,anger
553,anger
553,anger
553,anger
553,anger
553,anger
553,anger
553,anger
553,anger
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3143,boredom
3519,guilt
3519,sadness
3519,guilt
3519,anger
3519,sadness
3519,guilt
3519,value mismatch
3519,sadness
3519,anger
3519,value mismatch
272,value mismatch
272,value mismatch
272,value mismatch
272,value mismatch
272,value mismatch
272,value mismatch
272,pride
272,value mismatch
272,value mismatch
272,value mismatch
